time,score,sentiment,sadness,joy,fear,disgust,anger
2018-10-13 20:40:23,7,-0.659194,0.542249,0.121185,0.086811,0.15563,0.327446
2019-02-04 04:53:47,51,-0.705542,0.353825,0.170623,0.145419,0.351475,0.150474
2018-12-01 05:00:27,631,0.0,0.079243,0.349018,0.019016,0.028429,0.05498
2018-09-28 08:16:05,73,0.0,0.075998,0.55555,0.082721,0.06935,0.139616
2019-02-01 20:40:08,570,0.0,0.110721,0.045887,0.102481,0.193625,0.159435
2019-03-19 13:30:19,148,0.0,0.505151,0.125513,0.17689,0.167687,0.044173
2018-12-07 09:40:19,219,0.0,0.223135,0.243598,0.042036,0.013354,0.070411
2019-02-07 20:18:26,323,0.0,0.148831,0.179551,0.091248,0.074744,0.088473
2019-04-23 19:20:26,512,0.0,0.023958,0.868043,0.025865,0.038039,0.010223
2019-03-18 13:25:44,244,0.0,0.108309,0.451032,0.038687,0.084279,0.25602
2019-05-29 14:43:58,521,0.0,0.077295,0.312363,0.058668,0.092817,0.077251
2019-06-19 13:11:28,18804,0.0,0.045022,0.186879,0.076572,0.025801,0.078972
2019-06-14 08:08:52,152,-0.939545,0.414099,0.02571,0.525928,0.247954,0.108337
2019-05-26 17:53:49,584,0.0,0.49994,0.078809,0.238419,0.026931,0.091101
2019-05-23 03:00:20,199,0.0,0.127153,0.302161,0.071774,0.100598,0.132674
2019-06-18 19:32:31,276,0.958125,0.071179,0.868252,0.014382,0.008883,0.032206
2019-05-14 10:54:56,194,-0.95521,0.560485,0.415953,0.012689,0.009817,0.015305
2019-06-20 00:54:27,121,-0.379647,0.393805,0.136037,0.145831,0.024141,0.033707
2019-06-07 17:49:51,1071,0.0,0.151545,0.174219,0.093654,0.072945,0.08686
2019-06-10 15:40:41,82,0.889816,0.066978,0.791657,0.045449,0.01273,0.050253
2019-05-20 21:22:49,285,0.0,0.052305,0.237097,0.023528,0.034224,0.077013
2019-06-11 16:01:30,567,-0.700145,0.144509,0.436973,0.023956,0.208524,0.355914
2019-06-16 13:16:11,649,0.0,0.199158,0.065687,0.318932,0.147801,0.031574
2019-06-04 16:30:16,133,0.0,0.162708,0.403265,0.069534,0.068633,0.068806
2019-06-15 06:19:19,108,-0.36743,0.350941,0.553609,0.057738,0.040421,0.059956
2019-06-10 15:56:43,463,-0.667647,0.279512,0.106652,0.239916,0.054203,0.454766
2019-06-15 16:16:04,53,0.370038,0.088911,0.619861,0.094047,0.069386,0.168092
2019-06-15 12:53:05,33,-0.563464,0.557402,0.260527,0.187668,0.055534,0.049831
2019-06-11 08:21:40,8,-0.434921,0.148261,0.692582,0.079265,0.127896,0.476015
2019-05-20 17:49:49,74,0.0,0.145578,0.123628,0.14958,0.053287,0.071906
2019-06-19 05:38:47,357,0.612764,0.032571,0.503237,0.014973,0.022834,0.077342
2019-06-13 15:58:10,3080,0.0,0.295225,0.160422,0.117068,0.23033,0.303422
2019-06-17 15:30:15,516,0.0,0.184993,0.158629,0.274189,0.038586,0.133068
2019-05-29 18:08:10,179,0.0,0.091035,0.412435,0.032258,0.047475,0.051346
2019-05-27 06:19:49,160,0.0,0.573694,0.074673,0.225387,0.037704,0.084288
2019-05-29 00:31:16,70,-0.617346,0.309938,0.12553,0.175442,0.135032,0.250018
2019-05-20 19:13:38,110,0.0,0.141565,0.330756,0.064554,0.070211,0.123326
2019-05-20 17:37:12,102,0.0,0.145578,0.123628,0.14958,0.053287,0.071906
2019-06-03 13:24:25,61,-0.636277,0.273152,0.158635,0.187366,0.13574,0.119266
