time,score,sentiment,sadness,joy,fear,disgust,anger
2019-06-19 04:26:45,19,-0.883212,0.071318,0.486647,0.049132,0.003121,0.028312
2019-04-18 23:17:52,2,-0.56605,0.5621,0.489889,0.088598,0.58094,0.588933
2018-11-11 00:55:11,2,-0.834487,0.655949,0.011148,0.160971,0.0266,0.243188
2018-05-08 19:28:39,37,0.0,0.177178,0.0893,0.151661,0.026839,0.12784
2018-09-16 16:28:35,1,-0.581986,0.895712,0.020449,0.153912,0.066459,0.025723
2018-07-08 23:38:06,1,0.0,0.081982,0.552496,0.275154,0.011433,0.053188
2018-01-04 19:54:57,6,0.0,0.15567,0.150884,0.287051,0.041427,0.199182
2018-04-13 13:33:22,1,0.0,0.279727,0.01882,0.233607,0.082698,0.05148
2017-12-20 15:45:35,23,-0.942941,0.232225,0.018905,0.243535,0.178577,0.664358
2017-11-05 22:14:25,0,0.0,0.223572,0.104345,0.040306,0.110279,0.140238
2017-09-28 13:17:23,4,0.0,0.202156,0.045226,0.325202,0.085745,0.187502
2018-01-04 03:19:39,1,0.0,0.113256,0.061748,0.102556,0.028495,0.058272
2018-01-04 03:14:38,1,0.0,0.10382,0.059437,0.107949,0.024749,0.074946
2019-05-22 22:28:15,493,0.74328,0.499474,0.759142,0.024977,0.056828,0.099874
2019-05-14 01:26:25,255,0.853489,0.12992,0.690671,0.079775,0.045604,0.059505
2019-06-10 16:00:04,9,0.586757,0.183911,0.082919,0.07485,0.07367,0.114125
2019-06-14 10:34:35,7,-0.598298,0.639136,0.01153,0.364055,0.06112,0.10561
2019-05-05 05:01:49,80,0.345681,0.674659,0.193327,0.19891,0.036673,0.066589
2019-05-15 16:00:04,9,0.586757,0.187247,0.074983,0.076671,0.074248,0.113985
2019-06-15 00:24:13,0,-0.838396,0.386328,0.085665,0.046829,0.088331,0.401118
2019-05-16 14:54:18,28,0.669059,0.1066,0.452399,0.08533,0.026884,0.016784
2019-06-14 11:53:24,0,0.0,0.357836,0.31897,0.240272,0.02007,0.076076
2019-05-19 14:33:58,14,0.516487,0.499608,0.565865,0.071614,0.054673,0.092493
2019-05-07 18:51:19,42,0.0,0.08283,0.59614,0.02677,0.01469,0.065314
2019-06-13 20:03:29,3,0.657159,0.124803,0.492367,0.064283,0.084708,0.055083
2019-03-13 02:49:40,145,0.949477,0.17603,0.719223,0.032779,0.006576,0.061234
2019-05-28 16:26:33,8,-0.509542,0.489851,0.108906,0.126178,0.034686,0.122517
2019-03-04 15:34:21,3,0.345191,0.534595,0.616301,0.099444,0.089146,0.463827
2018-10-08 23:00:07,580,0.0,0.145717,0.310799,0.065999,0.084995,0.091649
2019-04-22 23:00:59,4,-0.450851,0.610658,0.575406,0.550218,0.068221,0.120252
2019-03-28 16:00:13,6,-0.612702,0.1686,0.041439,0.030745,0.000879,0.017271
2019-04-08 21:42:50,1,0.0,0.381278,0.013506,0.168408,0.210672,0.561144
2019-03-26 22:54:27,2,0.798496,0.12315,0.387949,0.108509,0.082834,0.104329
2018-11-15 21:19:19,1,-0.577078,0.537849,0.443993,0.148004,0.056807,0.114365
2019-03-10 18:56:04,2,0.665428,0.345653,0.598317,0.015598,0.042357,0.036466
2019-02-27 21:08:29,2,0.9945,0.054747,0.57521,0.031104,0.163189,0.120063
2018-08-19 10:21:35,198,-0.632431,0.341202,0.29308,0.08265,0.051369,0.322448
2018-08-30 20:23:38,654,-0.472183,0.200614,0.523414,0.113189,0.142431,0.112415
2018-10-19 16:41:43,126,0.0,0.057232,0.284967,0.145394,0.025129,0.03581
2018-10-18 00:07:59,37,-0.310377,0.261886,0.446387,0.127109,0.095236,0.115404
2018-11-24 00:10:44,18,0.52468,0.08139,0.859266,0.023954,0.009709,0.02639
2018-12-05 22:14:10,28,0.0,0.101606,0.273397,0.034272,0.054088,0.223599
2018-11-05 01:16:03,18,-0.821207,0.598604,0.088,0.497261,0.441556,0.093634
2019-01-15 23:51:53,3,-0.595108,0.688478,0.097972,0.691622,0.091765,0.18389
2019-05-30 14:42:33,220,-0.758838,0.090377,0.208631,0.039057,0.022039,0.066188
2018-10-20 18:12:10,33,0.449556,0.048774,0.596258,0.022047,0.002921,0.037251
2018-12-30 04:51:33,0,-0.454333,0.459094,0.565452,0.112112,0.079288,0.555445
2018-11-24 14:46:48,34,0.0,0.085998,0.701515,0.020184,0.090104,0.103313
2018-06-04 07:40:38,284,0.0,0.040226,0.23028,0.097313,0.004522,0.021857
2019-01-07 08:35:46,0,-0.560894,0.087141,0.073993,0.04857,0.094049,0.863234
2018-08-12 21:33:58,14,0.0,0.063862,0.079917,0.0552,0.012239,0.029342
2018-10-21 04:49:00,0,0.0,0.25329,0.133797,0.199632,0.065197,0.305262
2018-10-01 17:32:58,117,0.0,0.225896,0.147514,0.152378,0.066636,0.050042
2019-05-10 17:07:26,64,0.0,0.236133,0.058073,0.061628,0.057329,0.06096
2018-10-10 20:52:04,15,0.583975,0.111199,0.81382,0.024764,0.006854,0.044521
2018-10-10 02:21:19,0,0.311794,0.185971,0.146794,0.334116,0.023242,0.144329
2018-12-11 00:55:32,1,-0.44153,0.514197,0.556556,0.081828,0.06181,0.558781
2018-12-02 10:55:24,2,-0.634882,0.563049,0.099319,0.56764,0.056418,0.096908
2018-11-12 17:13:19,11,0.911245,0.100976,0.135963,0.074341,0.017464,0.052842
2018-11-23 19:47:11,2,-0.813996,0.640612,0.066362,0.103037,0.146506,0.291508
2019-06-18 17:28:03,3,-0.656327,0.258346,0.1019,0.054457,0.055414,0.120689
2018-06-05 16:32:21,128,0.85553,0.017451,0.597964,0.003751,0.000733,0.008687
2018-01-14 19:08:29,532,0.631266,0.194721,0.628681,0.05674,0.070245,0.062152
2018-07-25 05:07:15,6,0.354917,0.628508,0.048362,0.088572,0.033105,0.056611
2019-06-17 15:31:33,0,-0.819993,0.635791,0.023855,0.221989,0.019822,0.167759
2018-10-14 16:42:04,1,0.949549,0.005448,0.747768,0.008592,0.027399,0.013898
2018-10-26 14:58:54,1,-0.637216,0.634699,0.021753,0.072112,0.039402,0.244491
2019-06-18 04:48:53,10,-0.778656,0.326835,0.055676,0.071815,0.052785,0.073078
2018-06-19 17:36:28,30,-0.743697,0.551652,0.146851,0.076791,0.049392,0.075809
2018-06-08 18:08:44,3,0.0,0.643413,0.018437,0.040788,0.062297,0.061036
2018-08-05 04:26:32,9,-0.385294,0.154579,0.212642,0.079871,0.089121,0.112473
2018-09-17 22:27:01,0,-0.311749,0.486634,0.53893,0.118768,0.103533,0.075761
