keywords,count,relevance
gorgeous Model O,1,0.630029
upcoming Glorious Odin mouse,1,0.615538
matte black model,1,0.581866
model O,126,0.5744535
matte models,1,0.558948
mouse buttons,1,0.555415
top feel,1,0.553955
Glorious Mouse Bungee Launches,1,0.552331
Model,122,0.5234684999999999
best gaming mouse,2,0.54587
strenuous gaming use,1,0.542863
Glorious Model,30,0.55622225
aspects of the mouse,1,0.534632
rave customer reviews,1,0.534356
69g,1,0.534334
Quality Control,1,0.533984
much transparency,1,0.531874
FK2,14,0.529766
grip styles,3,0.529506
small brand,1,0.529043
glossy white Model,2,0.527874
anticipation of a large influx of tickets,1,0.527676
big step,1,0.527445
Scroll wheel,8,0.526197
symbol of support,1,0.526115
high expectations,1,0.524915
feel of 50M omrons,1,0.52464
cable drag,3,0.524306
Mouse,43,0.524142
Founder of Glorious PC Gaming Race,2,0.523603
support team,3,0.519943
Development of new projects,1,0.519558
Dpi button,4,0.519683
limits of reasonable gaming use,1,0.518963
mouse market,2,0.518847
First Impressions,1,0.518585
first month of the Model,1,0.517463
large size,2,0.516692
easy change of grip,1,0.516586
full suite of Glorious products,1,0.516415
glossy coating,5,0.515863
perfect feel,1,0.515669
1g variance,1,0.514673
time frame,1,0.51467
2x thumb buttons,1,0.514623
related posts,1,0.51415
PC gaming race,1,0.514031
lot of confusion,1,0.513675
Model O launch,1,0.513618
much effort,1,0.513195
Paracord Model O,1,0.74695
Legit mouse,1,0.67058
mouse feel,1,0.617105
better comfort grooves,1,0.573644
New model,1,0.573121
hours of use,1,0.570155
much warmth,1,0.565651
Glossy Model O,2,0.559477
mouse feet,1,0.55606
air58 feels,1,0.555697
G Pro Wired,1,0.547707
right side of the mouse,1,0.543949
First Model O,1,0.54234
order of importance,1,0.542185
Good Mouse Skates,1,0.540273
neutral feel,1,0.535063
possible sensor issues,1,0.533346
best stock cables,1,0.532876
Good Cable,1,0.532598
Hot Take,1,0.531008
much hype,2,0.5286314999999999
First time,1,0.529268
Model O's,1,0.528258
child's play,1,0.527348
great quality mouse,1,0.525322
white paracord,1,0.523276
masterclass of wireless mice,1,0.523037
biggest things,1,0.522841
light weight,4,0.52197275
Matte Black Model O,4,0.66438625
comfortable mice,1,0.520227
Model O.,1,0.520206
basic things,1,0.520096
feeling of grip tape,1,0.519019
FK1 shape,1,0.518973
little initial review,1,0.518933
mice,11,0.518397
G305,3,0.518346
First Model,1,0.51787
good shape,1,0.517589
Scroll Wheel,8,0.517179
comfortable Ambi mouse,1,0.516891
likes of the GPW,1,0.516808
great thing,1,0.515919
comment of a separate post,1,0.515316
52g MM710 mouse,1,0.515168
Matte White Model,1,0.713349
Model O,52,0.644476
portable laptop mouse,1,0.572867
Glorious PC Gaming Race,1,0.549637
Reservation Orders,1,0.547247
mouse expert,1,0.546756
side buttons,8,0.545873
desktop use,1,0.543147
Album of Click Test,1,0.540409
RGB effects,4,0.538387
G Pro Wireless,5,0.537424
US-NY,2,0.534298
0.5mm side grips,1,0.533873
Review of the Model O,2,0.532844
mouse,43,0.531832
only time,1,0.528965
Glorious PC Gaming Race logo,1,0.528793
very light cable,1,0.523956
good packaging,1,0.523491
right mouse buttons,3,0.523432
top of the GPW trade,1,0.523028
Hotline feet,1,0.522266
current CPI level,1,0.521116
overall design of the mouse,1,0.521082
very light,1,0.51992
side of the mouse,1,0.519533
White Matte Model O,1,0.519524
scroll wheel,9,0.518774
H-AST,1,0.518699
USA-VA,2,0.518463
minor delays,1,0.518423
cool custom color,1,0.518266
late july,1,0.517703
couple of nice stickers,1,0.517548
20M clicks,1,0.517287
glorious model o,2,0.51702
various issues,1,0.516979
Bye bye G502,1,0.516724
actual CPI values,1,0.516094
honest opinion,2,0.515911
Good news,1,0.51565
cheaper shipping option,1,0.515306
videos of others,1,0.514874
Omron switches,1,0.514485
first lightweight mouse,1,0.514327
Logitech G203,1,0.738755
new mouse,2,0.665457
model o,14,0.639958
g305,9,0.617669
main concern,1,0.581507
S2 Divina,1,0.578771
vs G305,1,0.574934
new mice,1,0.571689
Build quality,3,0.569729
high weight,1,0.55017
Nice shape,2,0.549845
lighter mice,1,0.54463
Model O order,1,0.543717
US-NJ,1,0.538665
G502 Proteus Core,1,0.538053
G Pro,1,0.534428
new shape,1,0.533985
small size,1,0.533135
Zowie S2,5,0.529981
regular AA battery,1,0.527995
small quirks,1,0.526454
model O today,1,0.526368
Side buttons,2,0.526032
great mouse,1,0.52489
look of the OEM cable,1,0.524275
high price,1,0.520739
Satisfying clicks,1,0.520551
Zowie ZA13,1,0.519102
G502,3,0.519004
Ultimate Lithium AAA,1,0.518891
bad aim,1,0.518573
cm hands,1,0.517536
little room,1,0.51676
launch,2,0.5166
Low weight,1,0.515365
lithium battery,1,0.515017
similar shape,1,0.514893
couple Model O's,1,0.514801
tough decision,1,0.513281
lighter mouse,1,0.513056
later revisions,1,0.511991
shape,4,0.511651
better build quality,1,0.511624
AAA,1,0.510465
Canada Post,1,0.509845
months,2,0.509739
