time,score,sentiment,sadness,joy,fear,disgust,anger
2019-04-17 18:25:17,11,0.32922,0.523839,0.47091,0.448236,0.058733,0.095512
2018-10-24 17:13:49,162,0.0,0.069842,0.199326,0.12572,0.005326,0.020837
2018-11-14 14:56:23,442,0.490514,0.265571,0.264759,0.036209,0.064486,0.089278
2019-05-12 16:23:16,13,0.670649,0.556849,0.58463,0.064882,0.102969,0.070158
2018-10-30 05:10:55,6,0.56267,0.133997,0.606224,0.072793,0.011943,0.024585
2018-11-27 06:36:21,2,0.315744,0.472452,0.613731,0.059216,0.028774,0.082157
2018-11-06 05:01:01,6,-0.374121,0.723606,0.593196,0.693679,0.047156,0.078023
2019-01-07 21:38:52,267,-0.678698,0.551613,0.160806,0.097337,0.390724,0.097501
2018-11-20 16:04:01,1,-0.612889,0.004481,0.025752,2.9e-05,0.0,0.0
2018-10-15 19:02:41,257,0.3317,0.198668,0.189507,0.038835,0.029527,0.108208
2019-06-18 05:32:39,179,0.0,0.266368,0.366771,0.111117,0.057553,0.10372
2019-05-24 10:56:21,620,0.0,0.263701,0.074467,0.030919,0.011952,0.036805
2019-06-17 05:54:17,501,0.0,0.085829,0.543026,0.017371,0.016205,0.023317
2019-06-20 14:00:51,64,0.498736,0.584514,0.561324,0.099181,0.055042,0.054718
2019-06-12 04:19:59,428,0.0,0.154605,0.312105,0.11581,0.116648,0.174933
2019-06-10 06:20:05,600,0.853584,0.034926,0.809284,0.021724,0.032574,0.044516
2019-03-31 19:25:44,3,-0.473647,0.159808,0.086648,0.040261,0.004365,0.020689
2019-06-13 04:45:32,183,0.0,0.131021,0.358743,0.068533,0.029861,0.051738
2019-06-20 07:30:47,194,0.0,0.113067,0.167377,0.068278,0.049844,0.070542
2019-05-29 01:58:25,34,0.876252,0.451919,0.757712,0.079433,0.022865,0.035749
2019-05-30 11:03:24,91,-0.409397,0.141338,0.188519,0.046529,0.153027,0.158155
2019-06-07 11:18:47,55,0.0,0.043725,0.022636,0.003013,4.3e-05,0.000441
2019-05-24 11:00:05,162,0.0,0.263701,0.074467,0.030919,0.011952,0.036805
2019-06-12 15:41:54,22,0.544746,0.331439,0.56807,0.092698,0.035862,0.039916
2019-05-17 22:28:45,58,-0.376949,0.190329,0.451658,0.559171,0.071806,0.091967
2019-06-18 04:04:37,8,-0.667665,0.644322,0.077964,0.121984,0.049131,0.112179
2019-05-19 04:12:08,13,0.840481,0.145988,0.580211,0.050553,0.017037,0.097662
2019-06-12 13:35:48,3,0.0,0.429401,0.151819,0.071165,0.021238,0.087995
2019-05-14 20:19:47,199,0.809127,0.087019,0.571745,0.024286,0.050327,0.070615
2019-05-14 22:08:43,11,-0.324299,0.375776,0.046787,0.140143,0.005935,0.102308
2019-05-02 16:47:30,24,-0.769975,0.144579,0.020855,0.04342,0.063457,0.158899
2019-05-24 11:19:16,44,0.0,0.358669,0.044426,0.013164,0.002723,0.021503
2019-05-13 03:48:55,24,0.0,0.376545,0.290424,0.281356,0.085669,0.064945
2019-06-04 12:15:33,7,-0.792252,0.613219,0.177683,0.15477,0.023119,0.209957
2019-06-17 06:24:52,3,-0.602066,0.641173,0.133574,0.119688,0.062048,0.205057
2019-05-24 08:05:56,2,0.885422,0.410247,0.503894,0.091088,0.021854,0.017728
2019-04-16 00:00:36,111,0.682239,0.089477,0.028219,0.011595,0.000246,0.002033
2019-06-16 17:16:28,2,-0.819223,0.672842,0.08492,0.120667,0.055562,0.150826
2019-06-15 23:11:10,1,-0.79733,0.50395,0.055455,0.188377,0.026391,0.481083
2019-06-17 23:48:25,1,0.0,0.352591,0.406661,0.020792,0.109498,0.150202
2019-05-10 00:47:29,12,0.511784,0.411846,0.424864,0.124818,0.041687,0.088415
2019-04-30 14:15:59,21,0.0,0.096504,0.23686,0.048765,0.065939,0.119053
2019-06-14 19:17:21,11,-0.317648,0.096504,0.23686,0.048765,0.065939,0.119053
2019-03-19 09:33:16,418,0.0,0.115884,0.112892,0.149429,0.105072,0.088318
2019-05-07 04:23:58,40,0.0,0.29073,0.073226,0.141965,0.093855,0.34809
2019-05-29 00:40:06,17,0.0,0.030261,0.026005,0.005426,4e-06,0.000522
2019-05-21 16:52:21,3,-0.369225,0.541869,0.564216,0.091278,0.07465,0.122363
2019-05-31 14:57:05,2,0.67163,0.463137,0.626087,0.043832,0.091385,0.090242
2019-05-09 19:31:40,22,0.0,0.091377,0.120683,0.06491,0.047318,0.062845
2019-06-07 15:31:25,2,-0.423732,0.125662,0.636282,0.098103,0.66619,0.080048
2019-05-14 02:20:12,8,-0.639182,0.588791,0.649115,0.107186,0.079801,0.087918
2019-05-22 13:50:55,36,0.793338,0.141445,0.519147,0.075881,0.048401,0.090878
2019-06-07 19:29:28,5,0.31703,0.550113,0.614559,0.083493,0.053808,0.069482
2019-06-17 20:19:06,1,-0.942159,0.619868,0.068846,0.186773,0.238101,0.13521
2019-05-16 11:11:00,3,0.0,0.062003,0.23217,0.004048,0.008215,0.04125
2019-06-14 16:08:59,2,0.308113,0.547243,0.648687,0.103334,0.058976,0.440378
2019-05-03 13:27:15,6,-0.771175,0.309239,0.070888,0.154294,0.025198,0.095085
2019-06-15 05:46:42,3,-0.823706,0.602368,0.055325,0.109597,0.044272,0.261717
2019-05-19 17:53:30,1,-0.871707,0.062952,0.14389,0.013203,0.014392,0.41707
2019-03-09 11:48:01,419,0.0,0.064581,0.249526,0.038627,0.034529,0.127968
2019-05-13 12:32:39,2,-0.679642,0.574743,0.047369,0.044809,0.031873,0.106703
2019-05-15 14:24:59,11,0.0,0.236369,0.066479,0.042774,0.004001,0.186935
2019-06-17 05:22:55,1,-0.789785,0.031585,0.153723,0.058759,0.03014,0.038235
2019-06-16 23:14:27,1,-0.889667,0.664864,0.121384,0.119017,0.033122,0.098841
2019-06-16 23:32:21,1,0.0,0.469692,0.134936,0.095976,0.057872,0.097331
2019-05-12 23:16:06,22,0.306124,0.222443,0.169844,0.077179,0.065941,0.632839
2019-04-29 17:24:16,69,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-24 21:38:38,23,0.0,0.111765,0.137148,0.069163,0.042476,0.063951
2019-06-02 00:02:05,1,-0.482048,0.474024,0.047828,0.205291,0.016554,0.023892
2019-05-21 06:54:11,26,0.447102,0.180314,0.1899,0.014031,0.020223,0.095863
2019-04-28 20:13:57,6,-0.748322,0.59514,0.592804,0.168713,0.114819,0.157333
2018-12-25 20:39:09,2287,0.0,0.102793,0.1104,0.030857,0.026162,0.074084
2019-05-24 04:28:11,1,-0.88825,0.077945,0.130085,0.015191,0.013073,0.44805
2018-12-25 19:27:19,468,0.617758,0.000796,0.955366,0.001152,0.002318,0.017919
2019-05-04 01:02:59,7,-0.786845,0.654114,0.096523,0.155155,0.07486,0.117872
2019-06-11 06:42:43,5,0.0,0.172555,0.308939,0.145743,0.23866,0.159598
2019-05-21 03:38:10,4,-0.848401,0.27425,0.018605,0.031778,0.015676,0.086768
2019-05-08 15:28:17,2,0.769555,0.297649,0.096486,0.055606,0.006366,0.018371
2019-05-07 06:14:39,7,-0.845706,0.175474,0.066648,0.092326,0.045945,0.185788
2019-06-07 01:50:29,1,-0.637213,0.152718,0.056369,0.063394,0.045695,0.133726
2019-06-10 14:48:33,2,0.0,0.252124,0.117526,0.026474,0.124782,0.183665
2019-05-08 18:41:29,5,-0.629858,0.747823,0.02321,0.127641,0.020178,0.154491
2019-05-21 12:22:39,8,0.0,0.145123,0.117799,0.028285,0.028505,0.08949
2019-05-15 11:58:24,1,-0.71163,0.618418,0.480437,0.64245,0.089221,0.166999
2019-06-04 14:29:18,1,0.408505,0.523261,0.608268,0.076058,0.069774,0.093405
2019-05-21 00:54:19,0,-0.34205,0.179004,0.627239,0.070168,0.07126,0.553046
2019-06-07 01:12:08,1,0.310742,0.04293,0.727786,0.024863,0.022597,0.021789
2019-06-10 05:20:12,1,0.0,0.231725,0.123619,0.217456,0.037547,0.045694
2019-06-01 17:18:01,0,-0.825818,0.617067,0.062658,0.098389,0.107062,0.194928
2019-05-05 19:18:08,3,-0.83347,0.601044,0.492814,0.158246,0.09569,0.20199
2019-06-03 00:27:40,1,-0.873531,0.61135,0.052537,0.033981,0.021402,0.172592
2019-01-27 12:27:11,149,-0.974568,0.571286,0.019477,0.259798,0.296157,0.162415
2019-05-20 18:05:07,12,0.546424,0.123716,0.482181,0.067799,0.011438,0.037728
2019-04-15 00:49:50,6,-0.683325,0.60157,0.497884,0.124552,0.051431,0.11991
2019-05-17 02:12:47,1,0.734197,0.594339,0.638071,0.048832,0.06251,0.056536
2018-12-31 15:19:02,192,0.0,0.169323,0.068668,0.029814,0.008475,0.040748
2019-06-07 08:01:30,1,0.0,0.153533,0.172324,0.006503,0.009067,0.031784
2019-03-26 19:24:07,19,-0.640929,0.330286,0.030519,0.071373,0.013105,0.062041
2019-05-29 20:01:14,1,-0.561953,0.590765,0.151852,0.141602,0.078696,0.557156
2019-05-02 16:37:15,3,0.0,0.135265,0.129624,0.262235,0.384909,0.343081
2019-05-06 00:43:29,3,-0.81858,0.367138,0.022274,0.072086,0.013722,0.246714
2019-05-27 09:14:26,1,0.350282,0.559011,0.640627,0.09153,0.065942,0.099547
2019-05-25 20:21:30,1,0.0,0.230487,0.348115,0.074194,0.017349,0.050596
2019-05-27 03:10:56,1,-0.333762,0.155217,0.208435,0.041,0.02748,0.093341
2019-05-28 00:59:35,2,-0.383176,0.457877,0.108207,0.043823,0.104768,0.136445
2019-04-29 22:08:39,3,-0.291973,0.157939,0.046038,0.003957,0.004347,0.006953
2019-05-27 18:18:04,1,-0.747816,0.171549,0.06189,0.026483,0.064268,0.223029
2019-05-25 13:08:28,1,0.0,0.235473,0.139428,0.045603,0.036894,0.097798
2019-04-25 20:17:57,9,-0.339669,0.160219,0.688329,0.016547,0.02929,0.119532
2019-04-23 23:19:17,3,-0.32506,0.169539,0.08423,0.051709,0.059117,0.099122
2019-05-19 03:15:47,1,-0.732556,0.511996,0.493551,0.122704,0.099519,0.070772
2019-05-26 02:52:48,1,-0.775642,0.439509,0.066224,0.20546,0.083685,0.119921
2019-04-15 07:35:17,3,-0.984829,0.70446,0.068275,0.073755,0.042255,0.243256
2019-05-23 15:54:50,1,-0.448006,0.250875,0.524032,0.101177,0.077622,0.083508
2019-03-08 04:14:20,17,0.0,0.13771,0.416728,0.050548,0.050608,0.078178
2019-05-15 12:07:24,2,0.0,0.162696,0.165426,0.10073,0.077021,0.104227
2019-05-27 20:02:26,1,0.0,0.12013,0.105539,0.044376,0.054408,0.080312
2019-03-17 10:23:29,97,0.0,0.119915,0.153101,0.072928,0.049349,0.068017
2019-05-26 21:30:43,1,0.0,0.074097,0.105967,0.025096,0.034115,0.063288
2019-05-03 05:07:15,0,-0.54421,0.605268,0.119354,0.027094,0.019954,0.157013
2019-01-15 15:54:25,131,0.0,0.096504,0.23686,0.048765,0.065939,0.119053
2019-05-21 14:36:58,2,-0.458253,0.186907,0.104882,0.060095,0.055027,0.059682
2019-04-28 22:11:27,2,-0.347757,0.489075,0.117411,0.047916,0.066731,0.146584
2019-05-24 13:50:59,1,0.0,0.312738,0.035647,0.050896,0.040512,0.037723
2019-04-23 10:50:27,5,-0.538224,0.647835,0.116391,0.105416,0.103851,0.182109
2019-05-28 13:48:24,1,0.788608,0.090847,0.420534,0.017697,0.00422,0.022668
2019-04-15 18:15:25,5,-0.721616,0.411638,0.319638,0.020949,0.041003,0.220959
2019-03-17 16:08:20,10,-0.538092,0.499036,0.019515,0.278966,0.038673,0.338585
2019-05-21 14:36:59,1,-0.458253,0.186907,0.104882,0.060095,0.055027,0.059682
2019-03-31 16:23:06,66,0.0,0.083585,0.355732,0.008078,0.01428,0.015625
2019-03-22 03:06:12,8,-0.801633,0.640832,0.028953,0.160306,0.079051,0.565722
2019-05-26 02:46:23,1,0.0,0.137204,0.094223,0.032394,0.010102,0.014164
2019-05-06 18:47:59,22,-0.595949,0.096994,0.133319,0.061016,0.036964,0.056558
2019-05-22 07:27:18,1,0.774289,0.104966,0.243454,0.025541,0.053611,0.084396
2019-05-24 13:56:06,1,0.0,0.312738,0.035647,0.050896,0.040512,0.037723
2019-05-22 13:09:40,1,0.0,0.112558,0.074074,0.041084,0.093037,0.102649
2019-03-16 16:58:26,8,-0.569532,0.66106,0.496515,0.082429,0.064949,0.201969
2019-05-14 04:50:23,1,-0.289263,0.524395,0.31542,0.038936,0.065999,0.093765
2019-05-12 16:54:51,1,0.0,0.196885,0.096554,0.091001,0.077138,0.065823
2019-03-10 13:42:50,11,-0.818798,0.604503,0.106611,0.104035,0.060433,0.119029
