keywords,count,relevance
OPPO's phones,1,0.613078
Pop-Out Camera,1,0.584179
months of use,2,0.5535095
Oppo F11 Pro,1,0.578068
6.6-inch 90Hz screen,1,0.575258
OnePlus's design,1,0.56114
OPPO F7,1,0.559133
slider phone design,1,0.554697
battery life,7,0.553956
OnePlus,316,0.55427675
best value smartphone,2,0.55088
OnePlus 5T,2,0.549072
REGULAR op7 work,1,0.54836
Pro review,6,0.544663
general looks,1,0.539832
rear cameras,1,0.539314
First GPS use,1,0.539058
Samsung Galaxy S10e,1,0.539027
90Hz screen,3,0.534827
current phone,1,0.534327
much info,1,0.533158
OnePlus 6T,2,0.531318
Pro,109,0.5235700000000001
90Hz display,3,0.52604
lot of ways,1,0.52545
Real Photo,1,0.524891
rising camera,1,0.524236
image of OnePlus,1,0.523891
Best speakers,1,0.523705
uses pixel,1,0.523435
OP7,7,0.5224305
first smart phone OnePlus,1,0.522407
dynamic range,4,0.521036
Pro prices leak,1,0.519423
Pro camera test,1,0.51924
Device look,1,0.518999
Note1/2,1,0.51843
OP7 feels,1,0.517689
heavy use,1,0.51602
lot of users,1,0.515909
great phone,1,0.515411
BEST Glass Protector,1,0.514915
Pro Makes Sense,1,0.51475
full specs,1,0.513977
LG G2,1,0.513899
iPhone user,1,0.513312
pro uses novatek panel,1,0.513198
SD-Card read speed,1,0.513198
brother's S10,1,0.512924
good stuff,1,0.512661
Pixel XL,1,0.615411
camera enhancements,1,0.605157
old Oneplus,1,0.56471
best GCam Port,1,0.564645
Pro's Telephoto Camera,1,0.56343
Google Pixel,2,0.555541
light use,1,0.548311
much shutter lag,1,0.544562
OP7pro,2,0.544168
portrait mode,11,0.539374
Pro scratches,1,0.537085
camera switch,1,0.532996
app usage,1,0.53184
Good call,1,0.531637
T-Mobile OnePlus,1,0.53139
3X,5,0.529907
OPTICAL zoom,1,0.528281
shutter lag,5,0.527421
pro's back glass,1,0.526546
6T,5,0.525908
telephoto camera,7,0.524939
good thing,1,0.524693
phone feel,1,0.524596
OP3,1,0.524317
portrait shots,1,0.522768
good look,1,0.522643
Portrait mode uses,1,0.521151
S10,5,0.520225
faster chipset,1,0.520199
equivalent focal length of the MAIN sensor,1,0.519972
Pro Battery Thread,1,0.519715
current OP7,1,0.519584
Oppo Find X,1,0.519204
much detail,1,0.518972
Open Command Prompt,1,0.518394
lot of things,1,0.517599
screen protector,3,0.517556
phone,77,0.52005775
latest update,3,0.517533
power button,7,0.515129
Android Auto,5,0.515742
MAIN camera mode,2,0.51561
Pro phones,1,0.515609
regular camera app,1,0.515531
great deal of detail,1,0.515388
large company,1,0.514594
Pixel's performance,1,0.514319
lack of mention of OPTICAL zoom,1,0.513851
pro camera,1,0.677454
everyday use,1,0.592598
S8,1,0.569328
pro display,1,0.562071
T-Mobile,3,0.560207
good reliable places,1,0.553501
Regular OnePlus,1,0.549091
OP7P,1,0.545374
ease of use,1,0.543861
Pro Guide,1,0.538358
look of the phone,1,0.537396
NYC T-Mobile Signature Store,1,0.533648
Pro glass screen protectors,1,0.532093
local time,1,0.528795
nice glass screen protector,1,0.528762
headphone jack,8,0.527043
new OnePlus,3,0.525842
Samsung Galaxy S10,2,0.525555
Nebula Blue version of the OnePlus,1,0.525248
much sense,1,0.525013
camera quality issues,1,0.524805
possible better camera,1,0.524444
pro 8GB ram,1,0.520184
op7 dummies,1,0.520054
fantastic device,1,0.519957
Pro megathread,1,0.519784
Use of Social Media,1,0.519438
big rant,1,0.519327
better battery,1,0.519116
Pro vs Samsung S10,1,0.518929
great T Mobile,1,0.518459
Chicago T-Mobile Signature Store,1,0.518373
Series' Oxygen OS features,1,0.517858
fastest Android,1,0.516895
only reason,2,0.516337
need opinions,1,0.516158
Pro Case,2,0.516029
Fingerprint sensor,2,0.516018
long time iPhone user,1,0.515715
switch OP7Pro,1,0.514668
impulse buy,2,0.51436
different finger print sensors,1,0.514229
screen,18,0.5152760000000001
amazing experience,1,0.513981
little bloatware,1,0.513527
Pro Leak,1,0.63599
Protective OnePlus,1,0.635052
zero use,1,0.633891
pro cases,1,0.565233
Protective OnePlus cases,1,0.564362
Oneplus,51,0.558485
OP7 pro case,1,0.557055
pro 5G version,1,0.539158
edge apps,2,0.537242
unnecessary apps,1,0.535686
App optimizing,1,0.527456
box feeling,1,0.526046
glass screen protectors,2,0.524768
good experience,1,0.524764
service updates,1,0.523111
Verizon sim,1,0.521128
Pro Epic Collectors Edition,1,0.520272
screen of your phone,1,0.519767
bad battery life,1,0.519516
flat screen,1,0.518584
US carriers,1,0.518466
past years OnePlus,1,0.51835
USA-TX,1,0.51768
USB-C,1,0.517208
GB ram,1,0.516294
tech push,1,0.516069
RAM boost,1,0.515467
past couple weeks,1,0.514848
Fix Update,1,0.514418
good performance,1,0.51424
lot of secret gifts,1,0.513932
new op7 pro,1,0.513846
CDMA-less feature,1,0.513813
exchange rate,1,0.513686
new top model OnePlus,1,0.513631
International version,1,0.51351
android phones,1,0.513154
extra cost,1,0.513071
cool idea,1,0.513037
Pro battery,1,0.512955
Automatic resolution,1,0.512489
reset Access Point Names,1,0.512316
important notifications,1,0.512178
full screen adhesive,1,0.511887
phone manufacturers,1,0.51169
first person,1,0.511081
phone usage,1,0.510262
