time,score,sentiment,sadness,joy,fear,disgust,anger
2018-09-05 23:34:04,1,-0.775936,0.089334,0.151639,0.032342,0.028709,0.056883
2019-01-21 15:46:52,2,0.766887,0.174463,0.615938,0.075472,0.059294,0.05735
2018-11-14 16:26:42,2,0.283659,0.591127,0.462383,0.114484,0.050907,0.112867
2019-06-03 13:05:41,3,-0.397194,0.563655,0.666428,0.05765,0.036327,0.107905
2019-06-18 22:53:53,0,0.346352,0.456797,0.55642,0.106569,0.088688,0.082563
2019-05-21 04:49:09,3,0.367283,0.462674,0.5837,0.07668,0.074084,0.077463
2019-05-05 11:13:27,8,-0.688818,0.218452,0.028385,0.025213,0.069174,0.168024
2019-06-08 20:02:01,5,0.745724,0.188024,0.644259,0.066057,0.030355,0.047466
2019-05-30 14:40:20,1,0.816879,0.14819,0.58323,0.037024,0.030926,0.057229
2019-05-04 04:20:40,3,-0.772764,0.375592,0.039587,0.194909,0.069266,0.223072
2019-05-01 22:15:26,6,-0.855667,0.559202,0.138392,0.039989,0.021619,0.119087
2019-05-15 07:13:10,7,0.0,0.11755,0.235546,0.172653,0.101987,0.358115
2019-05-03 03:11:29,1,-0.829691,0.549518,0.003517,0.133395,0.064495,0.520304
2019-01-31 12:09:11,14,-0.484288,0.612774,0.553176,0.089746,0.064395,0.084282
2019-01-21 09:49:19,13,-0.367015,0.512885,0.141854,0.184744,0.057713,0.301897
2019-03-19 19:33:11,6,0.394356,0.476571,0.195464,0.087899,0.065288,0.69085
2019-01-11 04:43:38,26,-0.687474,0.331456,0.343862,0.055231,0.219045,0.132705
2019-03-05 03:16:10,2,-0.334504,0.200382,0.156615,0.052846,0.14796,0.174449
2019-01-13 06:58:28,6,0.484948,0.201523,0.591947,0.094219,0.07284,0.098622
2019-01-01 19:42:54,17,-0.677097,0.691211,0.535953,0.130488,0.050022,0.065631
2019-01-06 23:51:42,2,0.384397,0.528489,0.006046,0.365661,0.081948,0.222361
2019-01-19 03:23:25,4,0.68906,0.621923,0.67219,0.059379,0.027049,0.080358
2018-10-09 17:09:40,23,0.700152,0.050786,0.647007,0.018408,0.007553,0.088676
2018-12-31 14:53:36,1,-0.680182,0.570677,0.058248,0.149709,0.052859,0.264168
2018-11-29 20:23:06,4,-0.717357,0.643638,0.091277,0.108997,0.076538,0.15356
2019-01-22 15:11:17,1,0.0,0.227475,0.323547,0.113309,0.048697,0.066455
