keywords,count,relevance
Samsung Note,190,0.894918
Verizon Samsung Note,1,0.686862
fabled Note 7s,1,0.660076
Big note,1,0.605957
faulty battery,1,0.566003
free samsung note,1,0.555542
T-Mobile,2,0.542536
daily use,3,0.530861
battery update,3,0.530722
Press Release,1,0.529691
wanna buy Note,1,0.524836
Best Samsung Note,1,0.524781
simple WiFi content consumption devices,1,0.523846
long time,1,0.52277
new case,1,0.522649
such issues,1,0.522284
Chinese factory,11,0.523636
next year,1,0.52139
AT&T,6,0.5304055
Pokemon Go players,1,0.519181
official Samsung Note,4,0.519111
Samsung,29,0.518075
Global Stop Sell,1,0.517874
Thay mặt kính điện thoại,1,0.517384
phones,14,0.516266
months of tech depreciation,1,0.516007
Time Stamp,1,0.515495
purchase of the Samsung Note,1,0.515239
molotov cocktails,1,0.514979
Samsung's Note,18,0.5292859999999999
emotional reaction,2,0.514003
lower price,1,0.513902
Android flagship device,1,0.513851
first version,3,0.513622
various accounts,1,0.512767
Hillary Clinton,1,0.512523
Slickdeals-type post,1,0.512134
late note7,1,0.511963
Apple Inc,1,0.511832
lower cost,1,0.511174
US carriers,1,0.511026
USA-IN,1,0.51083
ZTE Axon,1,0.510507
social stigma,1,0.5104
Verizon network,3,0.510395
C&D orders,1,0.510141
network updates,3,0.509976
court case,1,0.509896
battery pack,1,0.509766
Apple,11,0.509646
batteries of Samsung Note,1,0.643803
U.S. Consumer Product Safety Commission,1,0.631588
own new Pixel phone,1,0.611249
Galaxy Note,2,0.588597
New LG phone,12,0.578574
Samsung brand,1,0.568101
edge app list,1,0.561694
home screen,1,0.551211
only desire,1,0.550769
official statement,1,0.542619
Lithium-ion batteries,3,0.540361
recent reports,1,0.539617
news articles,1,0.535912
Press Statement,1,0.532149
google search function,1,0.531638
batteries,5,0.528588
battery mannagement,1,0.528026
home page,1,0.527318
phone,5,0.522679
Battery crackdown,2,0.520776
Top Stories,1,0.520609
Snapchat Spectacles case,1,0.520428
fingerprint scanner,1,0.519692
consumer warning,1,0.519569
normal use,1,0.518527
app list,1,0.518386
current gear vr,1,0.518104
cell phones,1,0.516844
S Pen,1,0.51677
recent gear VR,1,0.516499
battery design,4,0.516392
iris scanner,1,0.51603
Globe Samsung Note,1,0.515984
product safety incidents,1,0.515405
exchanges of the Galaxy Note7,1,0.514809
friends Note,1,0.514395
Fire,4,0.514276
Google,2,0.512945
text messages,1,0.512661
batteries catch fire,1,0.512515
work,1,0.512413
Business,7,0.511969
World,6,0.511283
Tech,6,0.511175
Latest Islamic News Today,1,0.51117
Text Messages Backup,1,0.511162
